city,timestamp,temperature,season
New York,2010-01-01,-2.781969819416351,winter
New York,2010-01-02,-0.6192404664970357,winter
New York,2010-01-03,6.726139399444962,winter
New York,2010-01-04,1.7641922321743215,winter
New York,2010-01-05,5.063781183971001,winter
New York,2010-01-06,6.798276916653395,winter
New York,2010-01-07,3.923406469469899,winter
New York,2010-01-08,1.3788963781763157,winter
New York,2010-01-09,3.7194696877174644,winter
New York,2010-01-10,13.964248470735592,winter
New York,2010-01-11,-0.23061402808276094,winter
New York,2010-01-12,1.6060299279239532,winter
New York,2010-01-13,-0.6964635775838242,winter
New York,2010-01-14,1.363793767476984,winter
New York,2010-01-15,-1.4454294877844882,winter
New York,2010-01-16,0.6147485990849405,winter
New York,2010-01-17,0.5045284050093438,winter
New York,2010-01-18,0.20105491336534204,winter
New York,2010-01-19,4.0483121573124885,winter
New York,2010-01-20,-6.180460635666646,winter
New York,2010-01-21,-7.966077431510596,winter
New York,2010-01-22,0.3965775825280502,winter
New York,2010-01-23,-8.84104603493538,winter
New York,2010-01-24,-0.6246405838872962,winter
New York,2010-01-25,2.008725477801462,winter
New York,2010-01-26,-6.026837837056945,winter
New York,2010-01-27,8.415714847576384,winter
New York,2010-01-28,-3.1754928669622866,winter
New York,2010-01-29,-3.5364992189264295,winter
New York,2010-01-30,-0.8823162177469341,winter
New York,2010-01-31,-2.4704749807085276,winter
New York,2010-02-01,3.017627666227064,winter
New York,2010-02-02,-3.9715129160920846,winter
New York,2010-02-03,5.130942870145528,winter
New York,2010-02-04,7.217234435680084,winter
New York,2010-02-05,-3.6530718749610562,winter
New York,2010-02-06,4.956898378261671,winter
New York,2010-02-07,4.899023147254413,winter
New York,2010-02-08,-4.40121921668935,winter
New York,2010-02-09,2.688586776214233,winter
New York,2010-02-10,-2.626509138245183,winter
New York,2010-02-11,-4.709609726927076,winter
New York,2010-02-12,1.210641620662372,winter
New York,2010-02-13,-0.36281894098806655,winter
New York,2010-02-14,-7.996443107027852,winter
New York,2010-02-15,8.450405302917028,winter
New York,2010-02-16,5.824873759219732,winter
New York,2010-02-17,-1.4054254217249267,winter
New York,2010-02-18,0.5275091214094921,winter
New York,2010-02-19,-6.543118010635448,winter
New York,2010-02-20,10.330920123164036,winter
New York,2010-02-21,-10.082905158709929,winter
New York,2010-02-22,9.312456492588234,winter
New York,2010-02-23,-1.974902154708066,winter
New York,2010-02-24,3.396198803304607,winter
New York,2010-02-25,6.715446990748418,winter
New York,2010-02-26,-5.6377995985719025,winter
New York,2010-02-27,0.5642390346071653,winter
New York,2010-02-28,-4.8263274746330795,winter
New York,2010-03-01,4.985559105828083,spring
New York,2010-03-02,13.458196261224144,spring
New York,2010-03-03,10.172279782181453,spring
New York,2010-03-04,11.013867086692164,spring
New York,2010-03-05,11.192187614080211,spring
New York,2010-03-06,4.47152654762419,spring
New York,2010-03-07,9.809315489792079,spring
New York,2010-03-08,9.277436222554735,spring
New York,2010-03-09,14.296323797749096,spring
New York,2010-03-10,14.057872008170397,spring
New York,2010-03-11,8.384806766131613,spring
New York,2010-03-12,12.112363910188385,spring
New York,2010-03-13,10.05459418351664,spring
New York,2010-03-14,5.126277311197644,spring
New York,2010-03-15,7.923322579010045,spring
New York,2010-03-16,13.934037488090558,spring
New York,2010-03-17,8.053464020809653,spring
New York,2010-03-18,21.06631388690012,spring
New York,2010-03-19,9.046337956832447,spring
New York,2010-03-20,3.302106549630752,spring
New York,2010-03-21,8.502260783264576,spring
New York,2010-03-22,17.024387342606786,spring
New York,2010-03-23,10.064815552741766,spring
New York,2010-03-24,10.773775428022622,spring
New York,2010-03-25,3.9634950741803507,spring
New York,2010-03-26,6.908550678640645,spring
New York,2010-03-27,12.911568100105532,spring
New York,2010-03-28,14.027861677403429,spring
New York,2010-03-29,9.860852621949459,spring
New York,2010-03-30,3.13315095903954,spring
New York,2010-03-31,5.154356244570043,spring
New York,2010-04-01,3.745347458686026,spring
New York,2010-04-02,8.259880002642912,spring
New York,2010-04-03,11.18189522537054,spring
New York,2010-04-04,3.4330416079213064,spring
New York,2010-04-05,11.419109162682473,spring
New York,2010-04-06,17.10254362619596,spring
New York,2010-04-07,19.2707600173743,spring
New York,2010-04-08,2.7727735555727957,spring
New York,2010-04-09,14.539404212469117,spring
New York,2010-04-10,-1.1364547525152062,spring
New York,2010-04-11,9.624050326601969,spring
New York,2010-04-12,10.224499488990707,spring
New York,2010-04-13,11.97854113842014,spring
New York,2010-04-14,10.898010402942067,spring
New York,2010-04-15,0.4018613823843413,spring
New York,2010-04-16,12.503491392038168,spring
